Time,LogitFit,LogitSE
15.5915916,-0.2652617,0.0262288
15.6156156,-0.2659518,0.0262767
15.6396396,-0.2666454,0.0263244
15.6636637,-0.2673427,0.0263718
15.6876877,-0.2680436,0.026419
15.7117117,-0.2687482,0.0264659
15.7357357,-0.2694566,0.0265125
15.7597598,-0.2701688,0.0265589
15.7837838,-0.2708849,0.026605
15.8078078,-0.2716047,0.0266509
15.8318318,-0.2723285,0.0266964
15.8558559,-0.2730563,0.0267417
15.8798799,-0.273788,0.0267866
15.9039039,-0.2745238,0.0268313
15.9279279,-0.2752636,0.0268757
15.951952,-0.2760076,0.0269198
15.975976,-0.2767557,0.0269635
16,-0.277508,0.027007
16.024024,-0.2782645,0.0270501
16.048048,-0.2790252,0.0270929
16.0720721,-0.2797903,0.0271354
16.0960961,-0.2805598,0.0271776
16.1201201,-0.2813336,0.0272194
16.1441441,-0.2821118,0.0272609
16.1681682,-0.2828945,0.0273021
16.1921922,-0.2836817,0.0273429
16.2162162,-0.2844735,0.0273834
16.2402402,-0.2852698,0.0274235
16.2642643,-0.2860708,0.0274633
16.2882883,-0.2868764,0.0275028
16.3123123,-0.2876867,0.0275419
16.3363363,-0.2885018,0.0275806
16.3603604,-0.2893217,0.027619
16.3843844,-0.2901463,0.027657
16.4084084,-0.2909759,0.0276947
16.4324324,-0.2918103,0.0277319
16.4564565,-0.2926497,0.0277689
16.4804805,-0.2934941,0.0278054
16.5045045,-0.2943435,0.0278416
16.5285285,-0.2951979,0.0278774
16.5525526,-0.2960574,0.0279129
16.5765766,-0.2969221,0.027948
16.6006006,-0.297792,0.0279827
16.6246246,-0.2986671,0.028017
16.6486486,-0.2995474,0.028051
16.6726727,-0.300433,0.0280846
16.6966967,-0.301324,0.0281178
16.7207207,-0.3022203,0.0281507
16.7447447,-0.3031221,0.0281831
16.7687688,-0.3040293,0.0282152
16.7927928,-0.3049421,0.028247
16.8168168,-0.3058603,0.0282783
16.8408408,-0.3067841,0.0283093
16.8648649,-0.3077136,0.0283399
16.8888889,-0.3086487,0.0283702
16.9129129,-0.3095895,0.0284001
16.9369369,-0.310536,0.0284296
16.960961,-0.3114883,0.0284587
16.984985,-0.3124464,0.0284875
17.009009,-0.3134104,0.028516
17.033033,-0.3143802,0.028544
17.0570571,-0.315356,0.0285717
17.0810811,-0.3163378,0.0285991
17.1051051,-0.3173256,0.0286261
17.1291291,-0.3183194,0.0286528
17.1531532,-0.3193193,0.0286791
17.1771772,-0.3203254,0.0287051
17.2012012,-0.3213376,0.0287308
17.2252252,-0.322356,0.0287561
17.2492492,-0.3233807,0.0287811
17.2732733,-0.3244116,0.0288058
17.2972973,-0.3254489,0.0288301
17.3213213,-0.3264926,0.0288542
17.3453453,-0.3275427,0.0288779
17.3693694,-0.3285992,0.0289013
17.3933934,-0.3296622,0.0289244
17.4174174,-0.3307317,0.0289473
17.4414414,-0.3318078,0.0289698
17.4654655,-0.3328905,0.0289921
17.4894895,-0.3339799,0.0290141
17.5135135,-0.3350759,0.0290358
17.5375375,-0.3361787,0.0290573
17.5615616,-0.3372882,0.0290785
17.5855856,-0.3384045,0.0290995
17.6096096,-0.3395277,0.0291202
17.6336336,-0.3406578,0.0291407
17.6576577,-0.3417948,0.029161
17.6816817,-0.3429387,0.0291811
17.7057057,-0.3440896,0.029201
17.7297297,-0.3452476,0.0292207
17.7537538,-0.3464127,0.0292402
17.7777778,-0.3475849,0.0292595
17.8018018,-0.3487642,0.0292786
17.8258258,-0.3499508,0.0292976
17.8498498,-0.3511446,0.0293165
17.8738739,-0.3523457,0.0293352
17.8978979,-0.3535541,0.0293538
17.9219219,-0.3547698,0.0293723
17.9459459,-0.355993,0.0293907
17.96997,-0.3572236,0.029409
17.993994,-0.3584616,0.0294272
18.018018,-0.3597072,0.0294454
18.042042,-0.3609604,0.0294635
18.0660661,-0.3622211,0.0294816
18.0900901,-0.3634895,0.0294997
18.1141141,-0.3647656,0.0295178
18.1381381,-0.3660493,0.0295358
18.1621622,-0.3673409,0.0295539
18.1861862,-0.3686402,0.0295721
18.2102102,-0.3699474,0.0295902
18.2342342,-0.3712624,0.0296085
